Number of HBonds,Polar Contacts,Apolar Contacts,Polar Water Contacts,Apolar Water Contacts,Surface Waters,Cleft Waters,Buried Waters,Molar Refractivity,Polarizability (10-24cm3),TPSA,DeltaG(kJ/mol),deltaH(kJ/mol),TdeltaS(kJ/mol)
5,12,52,-35,-38.3,33.2,0,0,146.4,58.1,181.82,-32.64,-21.34,11.23
5,10,40,-27.6,-36.1,37.8,0.4,0,143.7,57,191.05,-37.24,-17.99,19.09
6,10,46,-30.8,-29.7,32.8,0.8,0,136.9,54.3,191.05,-36.82,-29.71,7.11
5,14,46,-29.4,-36.4,32.6,0,0,136.7,54.2,191.05,-35.15,-22.59,12.47
5,12,54,-35.9,-48.2,42.9,1.4,0,86.9,34.4,196.12,-26.54,-15.06,11.48
16,22,130,-45.9,-70.7,23.8,3.7,15.1,98.7,39.1,173.56,-40.6,7.9,48.2
14,24,150,-54.7,-88.3,170.7,5.8,33.5,108.1,42.9,173.56,-40.5,14.6,54.9
11,32,206,-58.3,-80.2,77,9.1,13,107.8,42.8,202.25,-39.3,20.6,59.8
14,22,144,-48.3,-88.6,98,10,26.4,104.7,41.5,173.56,-38.3,20.5,58.6
13,22,124,-53.6,-68.6,7.9,5.5,8.9,86.2,34.2,173.56,-33.6,14.1,47.5
11,20,160,-46.2,-87.9,25.5,2,15.1,115.3,45.7,173.56,-41.5,22,63.2
13,22,132,-55.2,-70.3,48,4,17.5,97.8,38.8,164.78,-30.1,16.6,46.5
15,24,138,-57.8,-73.2,65.4,8.6,20.5,97,38.5,210.86,-29.8,8.1,37.7
12,22,132,-56.3,-74.6,131,24,16,124.5,36.6,193.79,-42,8.9,50.6
15,20,138,-54.7,-71,11.7,8.6,8.4,97,38.4,193.79,-40.6,17.3,57.6
13,24,158,-54.7,-77.9,66,6,17.7,134.6,53.4,193.79,-37.5,20.7,57.9
14,22,136,-56.1,-73.6,39.7,5.4,15.5,99,39.3,216.66,-40.2,7.7,47.9
16,24,144,-60.9,-64,59,3,20.3,103.7,41.1,216.66,-42.4,11.4,53.4
14,24,136,-49.4,-82.7,126.4,22.6,26.1,104.7,41.5,173.56,-33.9,24.6,58.3
2,6,82,-28.7,-53.1,32.4,4.7,5,89.4,35.4,96.36,-48.9,-22.8,26.09
12,26,160,-70.2,-72.5,58.1,4.7,0,70.8,28.1,206.05,-32.89,-38.03,-5.14
4,8,62,-20.4,-28.9,14.5,0,8,36.1,14.3,49.88,-26.6,-18.9,7.7
3,6,102,-26.3,-70.3,75,0.5,0,201.8,80,367.21,-43.1,-102.93,-59.83
4,12,54,-22.1,-24.9,34.5,1.6,2.2,103.7,41.1,256.29,-20,-19.7,0.3
11,24,120,-39.4,-63.3,43.8,3.2,1,70.8,28.1,189.53,-19.9,-29.9,-10.44
,,,,,,,,134.6,53.4,131.2,-55.65,-28.03,27.61
3,4,82,-29.8,-80.3,88.7,5,0,176.1,69.8,118.02,-53.14,8.79,61.92
0,4,82,-29.8,-80.3,56,1,5,70.8,28.1,189.53,-33.52,-46.32,-12.91
7,16,56,-27,-27.4,70,5,10,37.3,14.8,110.37,-20.19,-31.18,-11.37
13,16,66,-30.9,-38.8,67.5,5,0,157.1,62.3,295.05,-39.96,-18.74,21.21
16,24,160,-54.6,-75.9,133.2,23.7,11.4,90.8,36,173.56,-41.1,20.1,61.1
13,26,140,-54.6,-90.2,96.8,12.7,11.3,101.7,40.3,210.86,-38.9,11.3,50
21,28,252,-61.9,-97.8,112.6,10.9,16,127.6,50.6,189.35,-39.2,29.3,68.2
7,16,80,-33.2,-59,39.2,2.9,3,135.3,53.6,153.65,-36.4,-20.6,15.8
6,14,122,-35.2,-62.2,42.3,1,3,140.3,55.6,142.66,-43.6,-39.6,4
6,16,122,-31.9,-55.1,40.1,1.1,1,127.5,50.5,128.38,-40.8,-32.9,7.9
7,16,114,-30.6,-61.6,45.3,1.7,2.1,138.2,54.8,136.66,-42.6,-34.4,8.2
6,12,92,-43.5,-66,46.3,2.2,4,156.3,61.9,191.98,-38.3,-24.7,10.6
4,10,112,-36.7,-90.4,56.3,2.1,1,175.2,69.4,189.79,-51,-39.6,11.4
6,12,66,-44,-59.6,68.3,6.6,1,139,55.1,295.29,-29.29,-58.99,-29.71
10,14,48,-35.2,-25.1,35.6,1.3,1,60,23.8,139.55,-23.88,-96.23,-72.35
11,10,34,-18.7,-5.2,13.9,1.2,1,60.8,24.1,159.52,-23.56,-99.16,-75.6
2,4,74,-25.9,-76.2,71.6,2.4,0,162.4,64.4,101.89,-54.81,10.88,65.69
6,20,72,-24.5,-29.4,41,1,12,35.8,14.2,72.71,-42.26,-31,11.21
8,18,100,-29.1,-32.3,43,1,13,70.8,28.1,92.94,-26.74,-26.44,0.38
0,0,12,-2.5,-22.7,21.1,1.4,0,139,55.1,384.45,-22.26,-80.92,-58.58
15,28,198,-66.6,-75.5,40,12.9,24.6,107.6,42.7,235.47,-33.8,36,69.7
17,22,160,-46.3,-69.7,50.3,8.7,40.5,100.1,39.7,173.56,-41.9,22.4,64.3
6,16,164,-29.8,-63.5,13.8,0,0,66,26.2,82.25,-22.05,7.11,29.16
5,10,156,-24.8,-62.1,17.4,0.1,1,70.4,27.9,82.25,-30.25,5.36,35.61
5,8,172,-25.7,-70,19.7,1.1,0,74.9,29.7,82.25,-34.69,9,43.68
5,10,96,-19,-39.4,19.7,1.1,0,60.9,24.1,78.42,-42.26,-56.07,-13.81
2,8,34,-14.7,-18.3,117,5.9,0,37.3,14.8,110.37,-19.1,-77.8,-58.68
4,8,48,-31.8,-36.4,40.9,4.5,0.7,70.1,27.8,158.82,-28.22,-28.72,-0.66
3,2,46,-31.6,-47.3,43.9,8.1,0,107.3,42.5,158.82,-32.55,-30.4,2.15
6,18,84,-26.8,-28.7,47,0,13,32.8,13,81.94,-35.77,-43.97,-8.2
14,24,168,-56.1,-78.1,132,13,35,108.3,42.9,199.59,-31.6,39.4,70.8
7,20,142,-64.8,-64.7,44,11.5,8,104.5,41.4,268.68,-34.89,9.75,44.66
4,8,46,-16.5,-23.2,22.1,2,9,36.1,14.3,49.88,-26.6,-18.9,7.7
6,12,38,-33.1,-28.4,34.9,3.4,0,63.6,25.2,171.32,-22.18,-39.33,-17.15
11,22,114,-58.2,-47.4,40.4,2.3,0,70.8,28.1,206.05,-28.12,-31.97,-3.85
,,,,,,,,,,,,,
,,,,,,,, , ,,,,
